Termo Sugerido (Mais Comum);Variações Detectadas (Duplicatas);Qtd Variações;Frequência Total
Teoria do ponto fixo;Teorema do Ponto Fixo [Score: 93];1;4
Atividade prática;Atividades práticas [Score: 94];1;4
Função ventricular;Disfunção ventricular [Score: 92];1;5
Alimentos - legislação;Alimentos - regulação [Score: 88];1;4
Teorias da aprendizagem;Teoria da aprendizagem [Score: 98];1;5
Adolescentes em conflito com a lei;Adolescente em conflito com a lei [Score: 99];1;5
Tensões - fator de intensidade;Tensões -  fator de intensidade [Score: 98];1;4
Terapia com luz de baixa intensidade;Terapia de luz de baixa intensidade [Score: 93];1;5
TV Universitária;Vida universitária [Score: 88];1;4
Plano de contingência;Planos de contingência [Score: 98];1;4
Fonoterapia;Fontoterapia [Score: 96];1;4
Inquéritos;Inquérito [Score: 95];1;4
Instrumentação Biomédica;instrumentação médica [Score: 93];1;4
Inseto - características sexuais;Inseto - características sociais [Score: 91];1;4
Insetos necrófagos;Insetos coprófagos [Score: 89];1;4
Instituições públicas;Instituições políticas [Score: 88];1;5
Folículo capilar;Folículos capilares [Score: 91];1;4
Escarificação;Sacarificação [Score: 92];1;5
Emoções - crianças;Emoções nas crianças [Score: 89];1;4
Leishmaniose - Distrito Federal (Brasil);Leite humano - Distrito Federal (Brasil) [Score: 90];1;4
Lei de Lotka;Lei de Lokta [Score: 92];1;4
Plantas amazônicas;Plantas – Amazônia [Score: 89];1;4
Ki-67;Ki67 [Score: 89];1;4
Jornalismo - ideologia;Jornalismo - sociologia [Score: 89];1;4
Fitoterápico;Fitoterápicos [Score: 96];1;6
Empreendedor;Empreendedores [Score: 92];1;4
Informação ambiental;Inovação ambiental [Score: 89];1;4
Espaços não-formais de educação;Espaço não formal de Educação [Score: 90];1;4
Políticas públicas sociais;Políticas públicas criminais [Score: 89];1;4
Financiamento de infra-estrutura;Financiamento de infraestrutura [Score: 98];1;4
Filmes finos;Filme fino [Score: 91];1;5
Escândalo político;Escândalo  político [Score: 97];1;4
Relações enfermeiro-paciente;Relação enfermeiro-paciente [Score: 91];1;4
Química - material didático;Música -  material didático [Score: 89];1;4
Polímeros condutores;Polímeros semicondutores [Score: 91];1;4
Polícia judiciária;Política judiciária [Score: 92];1;5
Integridade ecológica;Integridade biológica [Score: 90];1;5
Política de saúde mental;Políticas de saúde mental [Score: 98];1;4
Intolerância à gluten;Intolerância ao glúten [Score: 88];1;4
RT-qPCR;RT-PCR [Score: 92];1;5
Invenção;Reinvenção [Score: 89];1;4
Polimerização em emulsão;Polimerização em miniemulsão [Score: 92];1;4
Edifícios escolares;Edifício escolar [Score: 91];1;4
Políticas públicas territoriais;Políticas públicas tributárias [Score: 89];1;4
Financiamento estatal;Financiamento estudantil [Score: 89];1;4
Quantificação de incerteza;Quantificação de incertezas [Score: 98];1;5
História - América;História - ética [Score: 88];1;4
Efeito magnetoviscoso;Efeito magnetovicoso [Score: 98];1;4
Redes neurais recorrentes;Rede neural recorrente [Score: 89];1;5
Estações de tratamento de esgoto;Estação de tratamento de esgoto [Score: 92];1;5
Incidência;Reincidência [Score: 91];1;5
Estudantes - ensino médio;Estudantes do ensino médio [Score: 94];1;4
Estrutura curricular;Reestruturação curricular [Score: 89];1;4
Predador;Predadores [Score: 89];1;4
Indígenas - Tocantins (TO);Indígenas Karajá - Tocantins (TO) [Score: 88];1;4
Estrangeiros;Estrangeirismos [Score: 89];1;4
Indústria de alimentos;Indústria de cimento [Score: 90];1;4
Floração;Fluoração [Score: 94];1;4
Indisciplina;Disciplina [Score: 91];1;4
Rio Araguaia;Rio Paraguai [Score: 92];1;4
Relatório da Administração (RA);Relatórios da Administração [Score: 90];1;5
Idosos - cuidado e higiene;Idosos - boca - cuidado e higiene [Score: 88];1;4
Favelas - Rio de Janeiro (RJ);Mapas - Rio de Janeiro (RJ) [Score: 89];1;4
Risco socioambiental;Riscos socioambientais [Score: 90];1;5
Fatores de prognóstico;Fatores Prognósticos [Score: 90];1;4
Imunidade inata;Imunidadeinata [Score: 97];1;4
Redação técnica;Educação técnica [Score: 90];1;5
Humor;Humo [Score: 89];1;4
Resíduos sólidos - aspectos econômicos;Resíduos sólidos - aspectos químicos [Score: 89];1;4
Processamento de linguagem natural (NLP);Processamento de linguagem natural [Score: 92];1;5
Hantavirus;Hantavírus [Score: 90];1;4
Professores - história;Professores de história [Score: 93];1;4
Fecundidade;Infecundidade [Score: 92];1;5
Retinopatia diabética;Retinopatia biabética [Score: 95];1;4
Retenção de água no solo;Tensão de água no solo [Score: 91];1;4
Espectro de frequência;Espectro de radiofrequências [Score: 88];1;5
Hidrofobia;Hidrofobina [Score: 95];1;4
Regolitos;Regolito [Score: 94];1;4
Processos hidrológicos;Processos biológicos [Score: 90];1;4
Processos educativos;Processos educativas [Score: 95];1;4
Heterogeneidade social;Heterogeneidade espacial [Score: 91];1;4
Herpes;Hepes [Score: 91];1;4
Regras;Regra [Score: 91];1;4
Produção de documentos;Tradução de documentos [Score: 91];1;5
Tecnologia química;Ecologia química [Score: 94];1;4
Cooperação técnica internacional;Cooperação médica internacional [Score: 92];1;4
Trypanosoma rangeli;Tripanosoma rangeli [Score: 95];1;4
Modelo hidrodinâmico;Modelo biodinâmico [Score: 89];1;4
Digestão;Indigestão [Score: 89];1;5
Vitaminas - carência;Vitamina A - carência [Score: 93];1;3
Televisão - aspectos psicológicos;Região - aspectos psicológicos [Score: 89];1;3
Externismo;Externalismo [Score: 91];1;4
Competição interespecífica;Competição intraespecífica [Score: 96];1;3
Competência em informação;Competências em informação [Score: 98];1;3
Estudantes universitários - fumo;Estudantes universitários - migração [Score: 88];1;3
Paradigmas;Paradigma [Score: 95];1;3
Modelos baseados em agentes;Modelo baseado em agentes [Score: 96];1;4
Complexidade da tarefa;Complexidade de tarefas [Score: 93];1;3
Medicamentos - formas farmacêuticas;Medicamentos - formas farmacêuticas - Brasil [Score: 89];1;4
Serviço público - concursos;Serviço público - custos [Score: 90];1;5
Estratégias mercadológicas;Estratégias metodológicas [Score: 90];1;3
Medicamentos - custos;Medicamentos - uso [Score: 92];1;3
Medicina baseada em evidências;Medicina baseada em eviência [Score: 97];1;4
Estratégia didática;Estratégias didáticas [Score: 95];1;3
Recontextualização;Retextualização [Score: 91];1;4
Exposição humana;Posição humana [Score: 93];1;3
Expressão facial - reconhecimento;Expressões faciais - reconhecimento [Score: 88];1;3
Reclamação constitucional;Reparação constitucional [Score: 90];1;3
Ministério do Planejamento, Orçamento e Gestão;Brasil. Ministério do Planejamento, Orçamento e Gestão [Score: 92];1;4
Formas aditivas;Forma aditiva [Score: 93];1;3
Fumo - efeito fisiológico;Alumínio - efeito fisiológico [Score: 89];1;4
Língua portuguesa - entonação;Língua portuguesa - pontuação [Score: 90];1;3
Formiga - Brasil, Centro-Oeste;Térmita - Brasil, Centro-Oeste [Score: 90];1;3
Função renal;Disfunção renal [Score: 89];1;3
Apropriação de terras;Desapropriação de terras [Score: 93];1;3
Militarização;Desmilitarização [Score: 90];1;4
Minerais na nutrição;Minerais - nutrição [Score: 92];1;4
Explosivos;Explosivo [Score: 95];1;3
Recursos hídricos - política ambiental;Recursos hídricos - política nacional [Score: 91];1;3
Tecnologia militar;Tecnologias militares [Score: 92];1;3
Ex-líbris;Ex-libris [Score: 89];1;3
Recessão (Economia) - Brasil;Recessão  (Economia) - Brasil [Score: 98];1;3
Receita pública;Receitas públicas [Score: 94];1;3
Direito agrário;Direito marcário [Score: 90];1;4
Estresse pós- traumático;Stress pós-traumático [Score: 93];1;3
Formas de governo;Formas de  governo [Score: 97];1;3
Questões socioambientais;Questões ambientais [Score: 88];1;3
Teoria de valores extremos;Teoria dos valores extremos [Score: 94];1;3
Madeira - qualidade;Madeira - umidade [Score: 89];1;4
Floresta aleatória;Florestas aleatórias [Score: 95];1;3
Fluoreto de sódio;Cloreto de sódio [Score: 91];1;3
Vieses cognitivos;Testes cognitivos [Score: 88];1;3
Ciclo estral;Ciclo menstrual [Score: 89];1;3
Modelagem gravimétrica;Modelagem paramétrica [Score: 88];1;4
Fisiologia celular;Biologia celular [Score: 88];1;3
Etnicidade - Brasil;Eletricidade - Brasil [Score: 90];1;4
Cimento - indústria;Alimentos - indústria [Score: 90];1;3
Teoria de Mishel;Teoria de Mie [Score: 90];1;3
Orações complexas;Inovações complexas [Score: 89];1;4
Aparições;Partições [Score: 89];1;3
Memorização;Memoização [Score: 95];1;4
Medidas;Medida [Score: 92];1;5
Análise de custo-efetividade;Análise custo-efetividade [Score: 94];1;4
Paleozoogeografia;Paleobiogeografia [Score: 88];1;4
Filmes poliméricos;Filme polimérico [Score: 94];1;3
Violinistas;Violonistas [Score: 91];1;3
Parametrização;Reparametrização [Score: 93];1;4
Rede óptica;Redes ópticas [Score: 92];1;3
Combustível - consumo;Combustíveis - consumo [Score: 93];1;3
Matriz extracelular;Matrizes extracelulares [Score: 90];1;3
Redes Bayesianas;Rede Bayesiana [Score: 93];1;3
Materialismo histórico dialético;Materialismo histórico-dialético [Score: 97];1;3
Etnologia - Brasília (DF);Etnologia - Brazlândia (DF) [Score: 88];1;3
Comparação cultural;Comparação Transcultural [Score: 88];1;3
Teoria da conspiração;Teoria da conservação [Score: 90];1;4
Análise textual;Análise textural [Score: 97];1;3
Quimioestratigrafia;Quimiostratigrafia [Score: 97];1;3
Modelo SIR;Modelo SIS [Score: 90];1;4
Análise isogeométrica;Análise geométrica [Score: 92];1;3
Esgotamento profissional;segmento profissional [Score: 89];1;4
Patrimônio intangível;Patrimônio tangível [Score: 95];1;4
Direito e Antropologia;Direito - antropologia [Score: 95];1;5
Lutzomyia longipalpis;Lutzomyia Longopalpis [Score: 95];1;3
Periferia - Brasília (DF);Periferias - Brasília (DF) [Score: 98];1;3
Patentes - Brasil;Lactentes - Brasil [Score: 91];1;4
Vestibulares;Vestibular [Score: 91];1;4
Bataille, Georges, 1897-1962;Bataille,  Georges, 1897-1962 [Score: 98];1;4
Pensamento geográfico;Mapeamento geográfico [Score: 90];1;4
Nutrição - Brasil;Desnutrição - Brasil [Score: 92];1;5
Modelos de distribuição de espécies;Modelagem de distribuição de espécies [Score: 92];1;4
Mamão - doenças e pragas - controle;Maçã - doenças e pragas - controle [Score: 96];1;4
Antiguidade;Antiguidades [Score: 96];1;5
Benjamin, Walter, 1892-1940 - crítica e interpretação;Benjamin, Walter, 1892-1940 - crítica, interpretação, etc [Score: 93];1;6
Segunda Guerra Mundial;Pós-Segunda Guerra Mundial [Score: 92];1;4
Macrófitas aquáticas;Macrófita aquática [Score: 95];1;4
Triglicerídeos;Triglicerídios [Score: 93];1;5
Sistema educacional brasileiro;Sistema cancional brasileiro [Score: 93];1;5
Números irracionais;Números racionais [Score: 94];1;4
Danos;Dano [Score: 89];1;4
África - política e governo;Itália - política e governo [Score: 89];1;5
Morcegos - distribuição geográfica;Mosca - distribuição geográfica [Score: 89];1;4
Viveiros florestais;Viveiro florestal [Score: 89];1;4
Base de Schiff;Bases de Schiff [Score: 97];1;5
Macroinvertebrados;Macroinvetebrados [Score: 97];1;4
Solos - adubos e fertilizantes;Repolho - adubos e fertilizantes [Score: 90];1;4
Movimento ambientalista;Movimentos ambientais [Score: 91];1;4
Ocupação informal;Ocupação formal [Score: 94];1;4
Tecnologia da informação - saúde;Tecnologias de informação em saúde [Score: 91];1;5
Sistema de informação em saúde;Sistemas de informação em saúde [Score: 98];1;5
Materiais - engenharia;Materiais (Engenharia) [Score: 91];1;4
Arquitetos - Brasil;Arquivos - Brasil [Score: 89];1;4
Arquitetura - história;Arquitetura e história [Score: 95];1;4
Aborto induzido;Parto induzido [Score: 90];1;4
Agência de fomento;Agências de fomento [Score: 97];1;6
Comportamento humano - aspectos sociais;Comportamento - aspectos sociais [Score: 90];1;5
Modelos de previsão;Modelos de predição [Score: 89];1;5
Vulnerabilidade ambiental;Vulnerabilidade socioambiental [Score: 91];1;4
Arquitetos;Arquitetas [Score: 90];1;4
Secas - Brasil, Nordeste;Museus - Brasil, Nordeste [Score: 90];1;4
Nutrição esportiva;Nutrição desportiva [Score: 97];1;4
Turfa;Turf [Score: 89];1;4
Coinfecções;Infecções [Score: 90];1;5
Triatoma sordida;Triatoma sórdida [Score: 94];1;4
Otimização multiobjetivo;Otimização multi objetivo [Score: 98];1;4
Fundo Monetário Internacional (FMI);Fundo Monetário Internacional [Score: 91];1;3
Práticas reflexivas;Prática reflexiva [Score: 94];1;3
Função cognitiva;Disfunção cognitiva [Score: 91];1;3
Certificação digital;Certificado digital [Score: 92];1;3
Língua portuguesa - adjetivos;Língua portuguesa - adjetivo [Score: 98];1;3
Língua franca;Língua francesa [Score: 93];1;3
Publicação científica;Explicação científica [Score: 90];1;3
Determinantes sociais da saúde;Determinantes sociais em saúde [Score: 93];1;5
Fotossensibilizador;Fotossensibilização [Score: 89];1;3
Agrofloresta;Agroflorestas [Score: 96];1;4
Metacomunidade;Metacomunidades [Score: 97];1;5
Catepsina C;Catepsina B [Score: 91];1;4
Detritos foliares;Detrito foliar [Score: 90];1;4
Pólarons;Pólaron [Score: 93];1;3
Formação Inicial;Formação sindical [Score: 91];1;3
Fusões;Efusões [Score: 92];1;3
Ovino - fisiologia;Ovino - histologia [Score: 89];1;4
Viagens aéreas;Imagens aéreas [Score: 93];1;3
Fosfatidilcolina;L-α-Fosfatidilcolina [Score: 89];1;3
Fundação Nacional de Saúde (Brasil);Fundação Nacional de Arte (Brasil) [Score: 93];1;3
Organização das Nações Unidas para a Educação Ciência e Cultura (UNESCO);Organização das Nações Unidas para a Educação, a Ciência e a Cultura (UNESCO) [Score: 97];1;4
Forma urbana;Reforma urbana [Score: 92];1;3
Frequência respiratória;Freqüência respiratória [Score: 96];1;3
Maguemita;Maghemita [Score: 89];1;4
Cartões de crédito;Carteiras de crédito [Score: 89];1;3
Testes de discriminação da fala;Testes de discriminação de fala [Score: 97];1;3
Lógica informal;Lógica formal [Score: 93];1;3
Fluxo de rede;Fluxos em rede [Score: 89];1;4
Mobilização;Remobilização [Score: 92];1;4
Organização;Reorganização [Score: 92];1;4
Terras;Terra [Score: 91];1;4
Carne ovina - qualidade;Carne bovina - qualidade [Score: 98];1;4
Fronteiras - Brasil - Bolívia;Fronteira Brasil-Bolívia [Score: 91];1;3
Arquitetura - estética - Brasília (DF);Arquitetura - história - Brasília (DF) [Score: 89];1;3
Psicologia do esporte;Sociologia do esporte [Score: 90];1;3
Metilação do DNA;Metilação de DNA [Score: 94];1;5
Operação portuária;Geração portuária [Score: 91];1;3
Comunidades Negras;Comunidade negra [Score: 94];1;4
Conselhos de saúde - Distrito Federal (Brasil);Serviço de saúde - Distrito Federal (Brasil) [Score: 89];1;3
Atuação cômica;Ação cômica [Score: 88];1;2
Arquitetura - sociologia;Arquitetura - mitologia [Score: 89];1;2
Arquitetura de nuvens (Computação);Arquitetura de redes (Computação) [Score: 90];1;2
Aprovação de medicamentos;Avaliação de medicamentos [Score: 88];1;2
Antropologias mundiais;Antropologia mundial [Score: 90];1;2
Análise de erro a priori;Análise de erro a posteriori [Score: 92];1;2
Aprendizado supervisionado;Aprendizado semissupervisionado [Score: 91];1;2
Aprendizado de máquina supervisionado;Aprendizado de máquina não-supervisionado [Score: 95];1;2
Aparelho digestivo;Aparelhos digestivo [Score: 97];1;2
Arte - meio ambiente;Arte e Meio ambiente [Score: 95];1;2
Aulas síncronas;Aulas assíncronas [Score: 94];1;2
Arquivos fotográficos;Arquivo fotográfico [Score: 95];1;2
Auditoria - processamento de dados;Auditoria  - processamento de dados [Score: 99];1;2
Ativos financeiros;Gastos financeiros [Score: 89];1;2
Atividades de lazer;Atividade de lazer [Score: 97];1;2
Atividade-meio;Atividade meio [Score: 93];1;2
Ato Institucional n. 5;Ato institucional n. 2 [Score: 95];1;2
Autoridade docente;Autoria docente [Score: 91];1;2
Avaliação de pesquisador;Avaliação de pesquisa [Score: 93];1;2
Autobiografia - aspectos sociais;Fotografia - aspectos sociais [Score: 89];1;2
Auto-controle;Autocontrole [Score: 96];1;2
Arroz - importação;Arroz - exportação [Score: 89];1;2
Arctiinae;Arctiidae [Score: 89];1;2
Sujeito oracional;Sujeito informacional [Score: 89];1;3
Desigualdades em saúde;Desigualdade em saúde [Score: 98];1;2
